"noc_title","V1.2.C.3.a","V1.2.C.3.b","V1.2.C.4.a","V1.2.C.4.b","V1.2.C.4.c","V1.2.C.4.d","V1.2.C.9.a","V1.2.B.3.b","V1.2.B.3.e","V1.4.A.3.b.1","innovation","rank.2.C.4.a","rank.2.C.4.b","rank.2.C.4.c","rank.2.C.4.d","rank.2.B.3.e","rank.2.B.3.b","rank.2.C.3.a","rank.4.A.3.b.1","rank.2.C.3.b","rank.2.C.9.a","rank.V1.1.C.7.a","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel"
"0122 Banking, credit and other investment managers",10.0377,1.25125,19.3229,0.32915,0.1855,0.363,2.6167,1.5886,1.17375,19.5585,3.34,25,431,461,354,157.5,211,227,36,394,217,319,121.070449538918,94.5418705183675,111.183338510829,0,NA,NA
"0124 Advertising, marketing and public relations managers",10.2256,1.7262,11.39945625,0.298125,0.5214,0.19276875,4.5659375,1.239375,1.2634375,15.626325,4.005,181,436,421,416,138,275,220,109,362,81,54,152.349333880641,121.193161738205,183.904326185283,0,NA,NA
"0125 Other business services managers",12.9683555555556,5.04733333333333,10.9022555555556,2.33037777777778,3.15866666666667,2.56432222222222,4.28566666666667,2.1175,1.92284444444444,12.6807333333333,3.49333333333333,201,221,227,121,81,126,125,198,209,89,246,122.689884593229,110.290468450781,132.300766333298,0,NA,NA
"0131 Telecommunication carriers managers",19.64,15.91,16.724,7.7868,1.6568,0.5246,29.1732,7.205,5.5544,18.8307,4.09,48,66,345,305,20,10.5,26,47,37,1,34.5,8.34768986192339,6.60622610595303,22.8559173409065,1,"Digital",1
"0132 Postal and courier services managers",15.8865,5.0167,14.7549,1.0564,0.9372,0.55,4.2588,2.1056,1.54,15.7014,3.77,84.5,344.5,390.5,298.5,107.5,136.5,57.5,106.5,212.5,90.5,133,102.566798566698,85.944073858219,105.109365059792,0,NA,NA
"0211 Engineering managers",19.866,29.707,22.5883,14.8005,9.9443,5.2704,8.1842,3.0456,2.76,17.9112,3.67,13,14,51,74,60,62.5,25,56,1,29,174.5,9.65437023784934,37.8314362236358,8.50127788836981,1,"High-Tech",1
"0212 Architecture and science managers",15.5262,17.629325,18.80815,9.4004,11.3734,9.044775,4.9203,5.47875,2.91,15.7516,3.775,33,49,37,43,55,23,63,103,30,73,130,45.9644119026585,70.6575948848266,42.7269141567928,0,NA,NA
"0213 Computer and information systems managers",23.5956,12.0267,14.657625,2.00445,0.8316,0.281775,7.884,3.8325,4.2075,25.4198,3.51,87,253,401,377,35,43,10,8,60,32,237.5,20.0520199225235,15.378640776699,18.5929802955665,1,"Digital",1
"0311 Managers in health care",17.5529,3.31695,12.0262,0.531775,1.4212,7.0335,2.0882,2.34375,5.775,19.504,3.515,157,407,357,52,19,113.5,43,39,277,281,236,52.8149865051741,39.4970555467133,45.430583100271,0,NA,NA
"0414 Other managers in public administration",11.82,6.3096,11.058,2.552,11.9382,14.964,2.5807,0.69,0.69,13.1544,3.45,198,211,29,17,273.5,385.5,165,182,176,220,276.5,215.103946474866,203.49553035795,213.962287561002,0,NA,NA
"0421 Administrators - post-secondary education and vocational training",10.6353,1.7442,9.7008,0.3024,0.242,0.1887,1.9712,1.32,0.69,16.168,3.97,239,434,449,418,273.5,246,211,94,360,292,58.5,206.058677685302,179.378202422112,194.515062179493,0,NA,NA
"0422 School principals and administrators of elementary and secondary education",11.907525,1.24085,10.770975,0.49005,1.7228,1.7808,2.825625,1.0275,1.26765,12.7078,4.115,209,413,338,154,137,313.5,161,197,395,202,28,206.18037702948,170.970640665375,206.828448405195,0,NA,NA
"0423 Managers in social, community and correctional services",11.43255,1.1275,6.653325,0.5126,0.987125,0.84495,2.88,1.215,1.685,14.758425,3.95,365,412,387,250,93,284.5,174,144,402,195,69,174.747817981067,141.087621270775,171.038690049224,0,NA,NA
"0431 Commissioned police officers",11.742,2.5258,7.8637,1.5168,3.781,1.76,9.7933,1.54,1.75,17.5924,3.55,320,296,200,157,92,218,169,69.5,320,22,228,73.1893200192476,53.8374679967522,129.86704976268,0,NA,NA
"0432 Fire chiefs and senior firefighting officers",7.9443,8.0282,9.6705,9.6237,11.088,4.07,9.7965,1.54,1.3125,9.715,3.73,240,45,44,91,131,218,301,257,133,21,152,83.0490898488562,66.4258394528298,186.623698214541,0,NA,NA
"0512 Managers - publishing, motion pictures, broadcasting and performing arts",17.9267,5.5404,8.3739,0.4715,0.1144,0.1998,15.1956,0.93,0.5244,19.7316,4.39,296,416,468,411,305.5,339.5,39,30,198,5,7,25.5156980807399,17.6066122466312,73.0111502241263,0,NA,NA
"0513 Recreation, sports and fitness program and service directors",7.332,1.066,15.3564,0.176,0.2289,0,2.2729,0,0.1344,7.9376,2.9,72,454.5,454,480.5,394.5,474,317,319,412,263,434.5,350.619896493032,317.814002012599,375.243821474689,0,NA,NA
"0601 Corporate sales managers",12.5532,4.26,13.0398,1.3832,1.3344,0.8235,5.3508,1.54,1.4256,15.2439,4.13,135,317,367,254,118.5,218,143,126,239,64,26,126.838757349441,103.704112798231,156.643872491917,0,NA,NA
"0621 Retail and wholesale trade managers",13.32,5.5902,14.8096,2.5521,3.393,1.35,5.825,2.1056,0.93,15.1475,3.65,83,210,213,202,211,136.5,111,127,197,58,179.5,118.272191299796,104.147125240454,148.010947990497,0,NA,NA
"0631 Restaurant and food service managers",7.998,2.1209,12.1023,1.1745,4.1925,2.0382,2.8476,0.5244,0.93,10.6134,3.59,152,333,180,142,211,407.5,298,238,336,200,209,265.064182855709,232.278763093229,283.111237680877,0,NA,NA
"0632 Accommodation service managers",19.639,5.1863,16.9303,0.9017,3.9601,0.8525,7.4088,1.88,1.4256,17.5924,4.09,46,364,191,249,118.5,164.5,27,69.5,207,37,34.5,62.8715567753268,47.2910094850457,72.3412366400072,0,NA,NA
"0651 Managers in customer and personal services, n.e.c.",8.1469,1.1097,13.7904,0.0416,2.4024,1.5857,3.8318,2.5944,1.125,14.9455,4.03,107,476,297,167,161.5,91.5,291,139,404,113,48.5,154.745912970992,156.904028359919,166.659403404156,0,NA,NA
"0711 Construction managers",12.8544,19.0688,17.5104,7.8624,5.0752,2.2304,4.9392,2.35,0.93,14.952,3.16,39.5,62.5,143.5,136.5,211,110,133.5,137.5,23.5,71.5,379.5,72.2973611014313,120.608183318698,72.2569691768853,0,NA,NA
"0712 Home building and renovation managers",12.8544,19.0688,17.5104,7.8624,5.0752,2.2304,4.9392,2.35,0.93,14.952,3.16,39.5,62.5,143.5,136.5,211,110,133.5,137.5,23.5,71.5,379.5,72.2973611014313,120.608183318698,72.2569691768853,0,NA,NA
"0714 Facility operation and maintenance managers",11.072,4.4928,11.8987,1.0395,2.4964,0.3024,3.8775,0.3125,0.75,16.872,3.46,160.5,348.5,276.5,373.5,250.5,438.5,183.5,82.5,233.5,109.5,264.5,162.330089651479,131.483712497752,179.134740631826,0,NA,NA
"0731 Managers in transportation",11.817,5.03685,15.32414375,1.4157875,2.6403125,1.144125,5.8179,1.19039375,0.91875,15.4901125,3.6575,75,312,267,211,219,291,166,116,211,59,177,136.709161381926,111.897020733818,183.674120570292,0,NA,NA
"0821 Managers in agriculture",10.108,11.6314,19.2156,8.4966,13.175,14.5432,3.1557,1.75,0.93,6.2832,4.06,26,57,17,19,211,184.5,225,361,64,165,42.5,155.023785345489,223.111106564879,153.000453038515,0,NA,NA
"0822 Managers in horticulture",4.8412,7.4513,13.9601,4.2735,12.8305,17.7576,0.621,1.4256,0.75,8.5624,3.92,103,137,19,9,250.5,234,370,299,147,446,82.5,258.018942379062,326.743175896364,237.902987898424,0,NA,NA
"0823 Managers in aquaculture",11.7425,11.02,14.49,7.05,11.115,19.27,3.7125,2.35,1.88,12.2475,3.95,91,76,41,7,84.5,110,168,210,85,126,69,117.963166750581,132.334567138317,116.307961003854,0,NA,NA
"0911 Manufacturing managers",10.9926,10.01775,15.58495,3.0758,3.5696,0.771825,3.6946,1.855,1.575475,14.406,3.76,65,186,211,261,103,174,185,153,95,127,140.5,132.075134021429,136.529324652186,132.921497956589,0,NA,NA
"0912 Utilities managers",14.273712,17.02368,15.5144,12.84692,11.444332,4.4058,5.321088,2.775684,2.801196,13.938012,3.946,67,22,35,89,59,82,91,162,32,65,73,65.808278518973,81.9290751961856,65.7700678074357,0,NA,NA
"1111 Financial auditors and accountants",14.4144,0.71755,20.37675,0.172,0.306625,0.0404,2.226625,1.4703,1.63,17.8177,3.415,23,456,440,462,97,227,87,59,437,266,291.5,123.33301820687,95.2841424001788,111.35000736035,0,NA,NA
"1112 Financial and investment analysts",18.7308,3.434,24.6963,1.5656,1.092,0.4096,3.248,1.0044,2.1056,19.6425,3.69,6,292,379,344,74.5,323.5,32,34,273,156,167.5,70.4058279795668,50.9626080252155,63.4109046826718,0,NA,NA
"1113 Securities agents, investment dealers and brokers",14.98485,2.5515,15.667875,0.309375,0.5734,0.596125,3.363675,1.1097,2.26875,18.965125,3.135,64,433,420,291,72,306,77,44,318,150,382,97.156540633375,72.2492692812416,90.6889798375056,0,NA,NA
"1114 Other financial officers",20.44,6.95975,22.533,2.2386,0.686,0.62115,1.98,1.2225,3.9375,22.20765,3.9,14,230,410,286,37,278,21,15,162,291,87,40.7016444756154,29.049712908696,34.7247461218937,0,NA,NA
"1121 Human resources professionals",10.749912,1.157056,10.314564,0.42552,0.516432,0.464128,1.853488,1.463076,1.525104,14.817528,3.71,229,420,423,333,112,230,204,143,399,302,157.5,194.796434600417,166.858687783203,181.811206376314,0,NA,NA
"1122 Professional occupations in business management consulting",12.30238125,7.07135,13.7281375,2.16745,3.0054375,2.904,3.886975,1.977425,2.92324375,15.9954,3.8275,110,234,236,105,54,152,153,98,158,108,109,105.678636994537,91.0111750353926,105.038506700401,0,NA,NA
"1123 Professional occupations in advertising, marketing and public relations",16.4079,1.7617,11.6967,0.1575,0.120175,0.100225,5.92875,3.4814,2.74,17.402175,4.365,168,461,466,432,61,51,51,73,356,56,8,67.8356525919352,60.2253862948906,70.5166852345179,0,NA,NA
"1213 Supervisors, library, correspondence and related information workers",15.54,1.6218,4.8923,0.4148,3.7352,1.4259,2.1875,0.75,2.35,16.498,3.38,426.5,422.5,202.5,186.5,69,368,61.5,89.5,368.5,269.5,302,118.932738612311,88.8251406377218,106.94769649114,0,NA,NA
"1214 Supervisors, mail and message distribution occupations",15.8865,5.0167,14.7549,1.0564,0.9372,0.55,4.2588,2.1056,1.54,15.7014,3.77,84.5,344.5,390.5,298.5,107.5,136.5,57.5,106.5,212.5,90.5,133,102.566798566698,85.944073858219,105.109365059792,0,NA,NA
"1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",9.177,6.409,15.505,1.86,2.672,0.8556,4.815,1.0044,1.215,14.6289,3.67,68,263,263,247,147,323.5,249,147,173,75,174.5,151.89796974299,130.41461830999,189.808757454047,0,NA,NA
"1221 Administrative officers",14.432,0.852,8.1747,0.0624,0.6248,0.2436,2.4486,0.5244,0.93,14.4855,3.2,308.5,473.5,414.5,393.5,211,407.5,85.5,150.5,428.5,240.5,367,188.706597573607,148.043302843768,180.801721354277,0,NA,NA
"1222 Executive assistants",12.54,0.3808,7.0056,0.226,0.3192,0.1526,2.3326,1.3125,2.35,16.0083,3.51,348,448,439,424,69,260.5,144,97,468,256,237.5,145.512093577687,113.387046696473,133.895209108086,0,NA,NA
"1223 Human resources and recruitment officers",12.3424,1.092,7.5692,0.0714,0.0927,0.051,2.7606,0.93,1.4256,15.295,3.84,325,472,471,457,118.5,339.5,150,124,408,206,104,180.703947016345,143.773001174792,176.226590720014,0,NA,NA
"1224 Property administrators",11.072,4.4928,11.8987,1.0395,2.4964,0.3024,3.8775,0.3125,0.75,16.872,3.46,160.5,348.5,276.5,373.5,250.5,438.5,183.5,82.5,233.5,109.5,264.5,162.330089651479,131.483712497752,179.134740631826,0,NA,NA
"1225 Purchasing agents and officers",14.3175,9.24,14.525,2.79,3.8025,2.38,4.6,0.1344,0.3125,16.985,3.65,90,201,197,128,348,460.5,90,77,105,80,179.5,118.527083288638,102.510134041313,130.631310632352,0,NA,NA
"1226 Conference and event planners",13.203,2.7648,8.3931,1.8792,2.0008,1.258,6.1258,1.3125,0.5244,16.5239,4.07,294,261,322,206,305.5,260.5,115,87,308,51,39,121.118955720821,94.1669728487669,164.976719434516,0,NA,NA
"1227 Court officers and justices of the peace",11.4558,1.0425,9.6276,1.1508,1.0981,2.2554,2.9253,0.75,1.62,12.9465,3.45,243,334,378,135,99,368,173,189,413,187,276.5,190.74917795183,151.921234283033,191.308690327833,0,NA,NA
"1228 Employment insurance, immigration, border services and revenue officers",13.132,0.7638,16.34,0.2596,0.231,0.2373,2.4805,0.75,1.4256,16.039,3.77,54.5,439.5,451.5,395.5,118.5,368,117.5,95.5,433.5,235.5,133,164.791854524644,127.396472917559,155.37003860036,0,NA,NA
"1241 Administrative assistants",14.432,0.852,8.1747,0.0624,0.6248,0.2436,2.4486,0.5244,0.93,14.4855,3.2,308.5,473.5,414.5,393.5,211,407.5,85.5,150.5,428.5,240.5,367,188.706597573607,148.043302843768,180.801721354277,0,NA,NA
"1242 Legal administrative assistants",12.8734,0.171,7.252,0.187,0.336,0.2832,2.1037,0.93,0.69,17.7514,3.78,339.5,451.5,436.5,375.5,273.5,339.5,130.5,61.5,477.5,278.5,128.5,167.354263788645,129.76325416397,154.922163547838,0,NA,NA
"1243 Medical administrative assistants",12.8554,1.0725,8.2775,2.5159,5.9436,3.8896,2.4644,0.5244,0.75,18.357,3.75,301,213,113,95,250.5,407.5,132,50,411,237,143.5,149.329403367133,113.300119963305,138.974017604559,0,NA,NA
"1251 Court reporters, medical transcriptionists and related occupations",16.6257,0.5808,1.95755,0.24295,0.444375,0.72615,1.122,0,0.3875,18.333975,2.705,479,444,426,268,328.5,474,49,51,450,397,462,122.197622900427,89.3291158524804,107.323247618414,0,NA,NA
"1252 Health information management occupations",9.8595,0.7072,3.7368,0.3304,0.748,0.4914,2.5986,1.3125,0.5244,17.4,3.47,457,430,406,329.5,305.5,260.5,230,74,438,219,253,190.039214579884,157.044825033479,185.00034579532,0,NA,NA
"1253 Records management technicians",14.1936666666667,3.84025555555556,9.22366666666667,1.33241111111111,0.832,0.8557,4.53946666666667,1.93916666666667,2.23611111111111,15.6191,3.24666666666667,260,321,400,245,73,157,92,110,248,83,359,108.059139248971,88.5348035837354,114.625296309355,0,NA,NA
"1254 Statistical officers and related research support occupations",21.5538666666667,4.6648,19.5072777777778,1.8421,2.07461111111111,5.91573333333333,2.52994444444445,2.92,10.0117333333333,20.482,3.59666666666667,24,264,319,60,8,71,15,24,223,228,204,25.3881103767764,18.3504821898598,21.5550423402617,0,NA,1
"1311 Accounting technicians and bookkeepers",12.2679,0.11,13.5992,0.1232,0.2442,0,1.608,0.1344,0.5244,17.617,3.37,112.5,464.5,447,480.5,305.5,460.5,154.5,67.5,481.5,341.5,307.5,190.77206777651,146.995274645739,175.245290782451,0,NA,NA
"1312 Insurance adjusters and claims examiners",6.86,1.802,10.2942,2.3184,1.0074,0.767,2.3986,0.93,1.96,13.6045,2.89,230,224,385,263,80,339.5,337,169,352,251,436,194.02039142043,159.014960813431,185.485186264156,0,NA,NA
"1313 Insurance underwriters",9.8696,0.4674,13.3076,0,0.0416,5.3966,1.4245,0.93,0.69,12.32,2.96,121,483,477,72,273.5,339.5,229,209,460,360,424,290.854711157256,257.685449180934,279.974440787385,0,NA,NA
"1314 Assessors, valuators and appraisers",15.045075,1.9845,17.25075,0.5192,0.2296,0.4697,2.536875,0.3125,0.98595,15.123,2.94,43,411,453,331,198,438.5,73,130,342,227,428,167.837066370533,130.897797255747,159.423566835034,0,NA,NA
"1315 Customs, ship and other brokers",15.3525,1.92,12.616,0.23,0.6,0.345,6.11,1.54,2.5944,19.7574,2.95,144,447,418,358.5,62,218,67,29,347,52,426.5,66.5041531634783,48.3207593347308,70.0751157921805,0,NA,NA
"1411 General office support workers",9.6792,0.4176,8.2052,0.0945,0.1177,0.0728,0.9955,0.69,0.69,13.6335,3.53,307,468,467,436,273.5,385.5,236,168,465,409,231,286.371227389335,246.630705700501,270.083384773675,0,NA,NA
"1414 Receptionists",11.4235,0.4068,4.8822,0.3712,0.7134,0.3304,3.626,0.69,0.5244,15.3036,3.42,429,427,408,366,305.5,385.5,175,123,466,132,288.5,205.083165438734,163.080432526505,230.01590959662,0,NA,NA
"1415 Personnel clerks",9.8441,0.2507,8.296,0.01,0.0618,0.01,1.6065,1.215,1.3125,19.5344,3.1,300,481.5,475,476,131,284.5,232,38,474,343,392,130.368193985278,98.9716708438302,115.964835165196,0,NA,NA
"1416 Court clerks",10.7114,0.298488888888889,8.5652,0.0101,0.0337777777777778,0.00668888888888889,2.32904444444444,0.3741,0.379377777777778,14.0266666666667,3.07,288,478.5,479,477,330,428,206,158,473,258,398,267.342926400664,222.192868720377,269.076428205041,0,NA,NA
"1422 Data entry clerks",14.0476,0.2432,9.322,0.4096,0.3364,0,1.3736,0.69,2.5,16.8734,3.22,252,424,435,480.5,64,385.5,97,81,475,372,360.5,132.881693339976,98.851386147003,117.724670055362,0,NA,NA
"1423 Desktop publishing operators and related occupations",20.496,4.902,7.2898,2.0992,1.0626,0.9928,4.3976,3.71,8.58,19.1388,4.45,337,242,381,231,13,45.5,20,40,219,86,6,33.1522947822777,25.8177588212485,29.5004928454515,0,NA,NA
"1431 Accounting and related clerks",12.2679,0.11,13.5992,0.1232,0.2442,0,1.608,0.1344,0.5244,17.617,3.37,112.5,464.5,447,480.5,305.5,460.5,154.5,67.5,481.5,341.5,307.5,190.77206777651,146.995274645739,175.245290782451,0,NA,NA
"1432 Payroll clerks",10.9472,0.492,13.801,0.2507,0.0945,0.0306,1.2654,0.1344,1.0044,13.356,3.37,106,442,470,464.5,189.5,460.5,187,175,457,383,307.5,258.567962214596,212.151197255243,242.711797938558,0,NA,NA
"1434 Banking, insurance and other financial clerks",13.1544,0.373625,9.8262,0.241875,0.121325,0.774,4.0913,0,1.3203,14.5008,2.865,237,445,465,260,125,474,116,149,470,101,438,161.366190164903,121.38093369949,182.624461786868,0,NA,NA
"1435 Collectors",13.132,0.7638,16.34,0.2596,0.231,0.2373,2.4805,0.75,1.4256,16.039,3.77,54.5,439.5,451.5,395.5,118.5,368,117.5,95.5,433.5,235.5,133,164.791854524644,127.396472917559,155.37003860036,0,NA,NA
"1451 Library assistants and clerks",14.9272,0.6588,4.2848,0.1605,0.22,0.209,2.4278,1.38,1.035,16.3728,3.12,447,460,455,406.5,176,241,79,91,443,245,384,152.018782682006,120.903182870763,141.227911886576,0,NA,NA
"1452 Correspondence, publication and regulatory clerks",8.7278,0.6432,9.8427,0.2712,0.3872,0.2596,2.3495,0.3125,0.75,16.6495,3.62,236,437,431,387,250.5,438.5,271,85,446,254,196,216.492869494037,172.398267349581,210.146105943537,0,NA,NA
"1454 Survey interviewers and statistical clerks",13.735,4.5584,14.399625,2.3408,1.9505,1.7172,2.457,1.3689,5.3436,14.8239,3.265,92,218,327,161,24,243,103,142,229,239,348.5,86.6785912108521,65.816473295618,76.8585413468681,0,NA,NA
"1511 Mail, postal and related workers",3.3003,0.3937,1.8792,0.176,0.1887,0.4329,1.1055,0,1.0044,5.3938,2.84,480,454.5,460,337,189.5,474,416,378,467,398,443.5,352.231972869851,312.6902168268,344.163870007824,0,NA,NA
"1512 Letter carriers",3.5638,0.448,4.653,0.4477,1.334,0.0618,1.3756,0,0,2.1402,2.84,433,419,368,452.5,445.5,474,404,453,462,371,443.5,432.754212984661,416.684346469729,447.366803335251,0,NA,NA
"1513 Couriers, messengers and door-to-door distributors",4.0734,0.01,3.069,0.549,2.48,0.2071,1.54,0.5244,0,2.2932,2.14,468,400,291,408,445.5,407.5,389,445,483,349,483,416.171432384819,403.91639171436,432.526220709588,0,NA,NA
"1521 Shippers and receivers",7.7284,0.9842,6.8635,0.5368,0.8192,0.053,1.6965,0.93,1.0044,14.008,3.18,362,405,402,456,189.5,339.5,308,160,420,332,372,260.734353047205,225.991599974124,249.888494937466,0,NA,NA
"1523 Production logistics co-ordinators",8.7768,5.04,15.207,2.2572,2.2244,0.351,1.0428,1.3125,1.0044,17.8464,3.37,77,228,313,357,189.5,260.5,270,58,210,404,307.5,162.508712658078,141.055316962266,145.129617462996,0,NA,NA
"1524 Purchasing and inventory control workers",11.7495,1.4356,13.5456,0.1155,1.5642,0.218,2.3302,0.5244,0.69,16.9054,3.89,115,466,350,404,273.5,407.5,167,80,384,257,90,194.411327428377,154.936572375468,185.278303124494,0,NA,NA
"1525 Dispatchers",13.5566111111111,2.65838888888889,5.62911111111111,1.46953333333333,1.57422222222222,1.06026666666667,10.5138666666667,1.38333333333333,0.94,18.9847333333333,3.52333333333333,398,300,349,219,203,240,107,42,312,17,234,59.8104872861901,43.0234332425068,111.70363742264,0,NA,NA
"1526 Transportation route and crew schedulers",11.7216,4.2402,10.8298,1.4329,1.9434,0.9585,4.29,0.93,0.3125,19.5363,3.25,207,311,328,234,348,339.5,170,37,240,88,357,112.462193552971,86.458394968533,118.72167897083,0,NA,NA
"2111 Physicists and astronomers",21.42291875,14.098,27.12375,24.58625,9.19178125,5.6355,5.70754375,5.135625,5.3524625,22.87220625,4.0275,2,1,57,69,23,25,16,13,47,61,50,24.257844237548,21.2711874587062,21.6250218416914,1,"High-Tech",1
"2112 Chemists",12.7596,12.0262,19.1754,6.3984,29.036,5.8081,1.615,2.82,3.71,20.203,3.54,29,88,1,65,40.5,76.5,138,26,61,339,229,59.8198813092973,56.1255072330516,51.355832363899,0,NA,NA
"2113 Geoscientists and oceanographers",14.941,15.21,22.1946,19.52,18.9344,12.6768,3.57,1.3125,4.4744,19.6672,3.92,17,6,4,28,32,260.5,78,33,39,137,82.5,55.3283550718474,50.2390123091709,49.4085233360991,0,NA,NA
"2114 Meteorologists and climatologists",20.0384,8.5728,23.8953,21.5298,9.2769,3.4398,7.7506,0.93,1.125,20.4185,3.46,7,4,55,101,161.5,339.5,24,25,125,35,264.5,48.6750142362497,35.5893536121673,52.3621892004551,0,NA,NA
"2121 Biologists and related scientists",13.01538,7.946752,14.54112,5.9961,11.2332,18.025728,2.511512,2.7272,3.509172,14.70686,3.574,88,100,40,8,43,85,124,145,134,230,222,98.4560346033185,95.4526543400306,88.3206500306167,0,NA,NA
"2122 Forestry professionals",15.873,9.0792,17.2134,4.4895,4.4928,14.129,2.3247,4.24,0.5244,13.4397,3.34,45,133,166,21,305.5,34,59,173,116,260,319,90.0545407396331,135.557132417577,79.6243349832954,0,NA,NA
"2123 Agricultural representatives, consultants and specialists",16.121,8.5749,18.841,7.7959,17.0112,19.5024,1.2616,1.4256,1.215,11.9952,3.93,32,64,9,6,147,234,54,214,124,384,77,135.006029612124,124.273233328684,119.488426424001,0,NA,NA
"2131 Civil engineers",14.448,29.100925,23.474,16.7157,7.6714,2.4964,3.33375,6.1,4.635,18.747675,3.62,11,10,81,122,30,19,84,48,3,152,196,16.1739505632991,56.3643198409041,13.7200208273561,1,"High-Tech",1
"2132 Mechanical engineers",20.544,29.328,23.55535,20.869,10.35045,1.76085,6.5069625,12.15234375,7.5396875,21.09375,4.22,10,5,48,156,16,2,19,19,2,47,12,7.08948740225891,22.2646657571623,6.05700712589074,1,"High-Tech",1
"2133 Electrical and electronics engineers",26.201125,27.724,20.670525,15.441675,6.5623,0.98185,7.486575,6.5664,5.0589,21.283825,3.93,22,12,99,233,26,17,6,18,8,36,79.5,14.0772551893414,15.4111233544047,12.5252877572375,1,"Digital",1
"2134 Chemical engineers",17.9221333333333,28.6173222222222,24.8749111111111,22.3643555555556,23.9508444444444,7.82035555555556,2.15755555555556,7.54728888888889,4.7957,19.7991111111111,4.17333333333333,5,3,3,48,28,6,40,28,6,274,17,15.6778142081493,41.2404616257804,13.1901743264659,1,"High-Tech",1
"2141 Industrial and manufacturing engineers",13.906475,24.5603,18.92728125,13.4619375,11.42145,3.34889375,3.63363125,6.8034375,3.0576125,16.571625,3.765,30,21,36,102,50,13,100,86,13,130,137,31.3326043719309,82.2424660153779,27.1945707241462,0,NA,NA
"2142 Metallurgical and materials engineers",17.591,28.2112,23.3688,23.3874,25.7342,5.3192,3.8335,6.875,3.9856,17.5848,4.15,12,2,2,73,36,12,42,71,7,112,21.5,21.8225967822876,54.7785466798559,18.7902953096689,1,"High-Tech",1
